clock	/proc/uptime (CLOCK_MONOTONIC-derived)
head_sha	cd7d00dfde037416ec462b5f5df604c752b6b28b
tree_sha	8cd004f5ac1e34f592337bd187c10a9c0d79aed0
tree_dirty	false
t_loss_ms	1067080790
t_restore_ms	1067175650
ssh_invocations	3
