environment	successes	attempts	threshold
direct-ipv4	20	20	>=95%
direct-ipv6	20	20	>=95%
udp-blocked	20/20 bounded failures	20/20 failures	20/20 bounded
nat-full-cone	20	20	>=95%
nat-restricted-cone	20	20	>=95%
nat-port-restricted-cone	20	20	>=95%
nat-symmetric	20	20	>=90%
zerotier	20	20	>=90%
tailscale	UNAVAILABLE	no tailscale daemon/interface	>=90%
