06:17:48.772405 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 152
06:17:48.772421 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 257
06:17:48.772489 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 461
06:17:48.772491 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 177
06:17:48.772557 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 252
06:17:48.772576 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 191
06:17:48.772631 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 301
06:17:48.772647 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 221
06:17:48.772699 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 127
06:17:48.772705 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 69
06:17:48.772739 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.772765 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 69
06:17:48.772821 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.772824 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 400
06:17:48.772866 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 34
06:17:48.772893 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 242
06:17:48.772910 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.772943 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.772957 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 34
06:17:48.773022 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 218
06:17:48.773029 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.773070 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773086 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.773112 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.773158 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773167 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 134
06:17:48.773198 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.773237 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.773243 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773298 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773302 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.773341 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.773358 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773395 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.773415 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.773457 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773462 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.773514 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773532 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.773555 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.773598 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773597 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.773656 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773670 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.773696 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
